volume_id,layer_id,module_id,cx,cy,cz,rot_xu,rot_xv,rot_xw,rot_yu,rot_yv,rot_yw,rot_zu,rot_zv,rot_zw,module_t,module_minhu,module_maxhu,module_hv,pitch_u,pitch_v
7,2,1,-65.7965,-5.1783,-1502.5,0.0784591,-0.996917,0,-0.996917,-0.0784591,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,2,-139.851,-6.46568,-1502,0.0461835,-0.998933,0,-0.998933,-0.0461835,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,3,-138.657,-19.3419,-1498,0.138156,-0.99041,0,-0.99041,-0.138156,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,4,-64.1764,-15.4074,-1498,0.233445,-0.97237,0,-0.97237,-0.233445,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,5,-136.281,-32.0531,-1502,0.228951,-0.973438,0,-0.973438,-0.228951,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,6,-60.976,-25.2571,-1502,0.382683,-0.92388,0,-0.92388,-0.382683,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,7,-132.742,-44.4908,-1498,0.317791,-0.948161,0,-0.948161,-0.317791,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,8,-128.071,-56.5489,-1502,0.403921,-0.914794,0,-0.914794,-0.403921,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,9,-56.2743,-34.4849,-1497.5,0.522499,-0.85264,0,-0.85264,-0.522499,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,10,-122.307,-68.1246,-1498,0.486604,-0.873622,0,-0.873622,-0.486604,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,11,-115.5,-79.1191,-1502,0.565136,-0.824997,0,-0.824997,-0.565136,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,12,-50.1868,-42.8636,-1502.5,0.649448,-0.760406,0,-0.760406,-0.649448,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,13,-107.707,-89.4386,-1498,0.638847,-0.769334,0,-0.769334,-0.638847,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,14,-42.8636,-50.1868,-1498,0.760406,-0.649448,0,-0.649448,-0.760406,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,15,-98.9949,-98.9949,-1502,0.707107,-0.707107,0,-0.707107,-0.707107,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,16,-89.4386,-107.707,-1498,0.769334,-0.638847,0,-0.638847,-0.769334,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,17,-34.4849,-56.2743,-1502,0.85264,-0.522499,0,-0.522499,-0.85264,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,18,-79.1191,-115.5,-1502,0.824997,-0.565136,0,-0.565136,-0.824997,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,19,-68.1246,-122.307,-1498,0.873622,-0.486604,0,-0.486604,-0.873622,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,20,-25.2571,-60.976,-1497.5,0.92388,-0.382683,0,-0.382683,-0.92388,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,21,-56.5489,-128.071,-1502,0.914794,-0.403921,0,-0.403921,-0.914794,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,22,-44.4908,-132.742,-1498,0.948161,-0.317791,0,-0.317791,-0.948161,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,23,-15.4074,-64.1764,-1502.5,0.97237,-0.233445,0,-0.233445,-0.97237,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,24,-32.0531,-136.281,-1502,0.973438,-0.228951,0,-0.228951,-0.973438,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,25,-5.1783,-65.7965,-1498,0.996917,-0.0784591,0,-0.0784591,-0.996917,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,26,-19.3419,-138.657,-1498,0.99041,-0.138156,0,-0.138156,-0.99041,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,27,-6.46568,-139.851,-1502,0.998933,-0.0461835,0,-0.0461835,-0.998933,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,28,5.1783,-65.7965,-1502,0.996917,0.0784591,0,0.0784591,-0.996917,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,29,6.46568,-139.851,-1498,0.998933,0.0461835,0,0.0461835,-0.998933,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,30,19.3419,-138.657,-1502,0.99041,0.138156,0,0.138156,-0.99041,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,31,15.4074,-64.1764,-1497.5,0.97237,0.233445,0,0.233445,-0.97237,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,32,32.0531,-136.281,-1498,0.973438,0.228951,0,0.228951,-0.973438,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,33,25.2571,-60.976,-1502.5,0.92388,0.382683,0,0.382683,-0.92388,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,34,44.4908,-132.742,-1502,0.948161,0.317791,0,0.317791,-0.948161,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,35,56.5489,-128.071,-1498,0.914794,0.403921,0,0.403921,-0.914794,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,36,34.4849,-56.2743,-1498,0.85264,0.522499,0,0.522499,-0.85264,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,37,68.1246,-122.307,-1502,0.873622,0.486604,0,0.486604,-0.873622,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,38,79.1191,-115.5,-1498,0.824997,0.565136,0,0.565136,-0.824997,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,39,42.8636,-50.1868,-1502,0.760406,0.649448,0,0.649448,-0.760406,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,40,89.4386,-107.707,-1502,0.769334,0.638847,0,0.638847,-0.769334,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,41,98.9949,-98.9949,-1498,0.707107,0.707107,0,0.707107,-0.707107,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,42,50.1868,-42.8636,-1497.5,0.649448,0.760406,0,0.760406,-0.649448,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,43,107.707,-89.4386,-1502,0.638847,0.769334,0,0.769334,-0.638847,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,44,56.2743,-34.4849,-1502.5,0.522499,0.85264,0,0.85264,-0.522499,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,45,115.5,-79.1191,-1498,0.565136,0.824997,0,0.824997,-0.565136,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
7,2,46,122.307,-68.1246,-1502,0.486604,0.873622,0,0.873622,-0.486604,0,0,0,-1,0.15,8.4,8.4,36,0.05,0.05625
